Date,Adj Close
11/29/16,189.570007
11/30/16,189.399994
12/1/16,181.880005
12/2/16,181.470001
12/5/16,186.800003
12/6/16,185.850006
12/7/16,193.149994
12/8/16,192.289993
12/9/16,192.179993
12/12/16,192.429993
12/13/16,198.149994
12/14/16,198.690002
12/15/16,197.580002
12/16/16,202.490005
12/19/16,202.729996
12/20/16,208.789993
12/21/16,207.699997
12/22/16,208.449997
12/23/16,213.339996
12/27/16,219.529999
12/28/16,219.740005
12/29/16,214.679993
12/30/16,213.690002
1/3/17,216.990005
1/4/17,226.990005
1/5/17,226.75
1/6/17,229.009995
1/9/17,231.279999
1/10/17,229.869995
1/11/17,229.729996
1/12/17,229.589996
1/13/17,237.75
1/17/17,235.580002
1/18/17,238.360001
1/19/17,243.759995
1/20/17,244.729996
1/23/17,248.919998
1/24/17,254.610001
1/25/17,254.470001
1/26/17,252.509995
1/27/17,252.949997
1/30/17,250.630005
1/31/17,251.929993
2/1/17,249.240005
2/2/17,251.550003
2/3/17,251.330002
2/6/17,257.769989
2/7/17,257.480011
2/8/17,262.079987
2/9/17,269.200012
2/10/17,269.230011
2/13/17,280.600006
2/14/17,280.980011
2/15/17,279.76001
2/16/17,268.950012
2/17/17,272.230011
2/21/17,277.390015
2/22/17,273.51001
2/23/17,255.990005
2/24/17,257
2/27/17,246.229996
2/28/17,249.990005
3/1/17,250.020004
3/2/17,250.479996
3/3/17,251.570007
3/6/17,251.210007
3/7/17,248.589996
3/8/17,246.869995
3/9/17,244.899994
3/10/17,243.690002
3/13/17,246.169998
3/14/17,258
3/15/17,255.729996
3/16/17,262.049988
3/17/17,261.5
3/20/17,261.920013
3/21/17,250.679993
3/22/17,255.009995
3/23/17,254.779999
3/24/17,263.160004
3/27/17,270.220001
3/28/17,277.450012
3/29/17,277.380005
3/30/17,277.920013
3/31/17,278.299988
4/3/17,298.519989
4/4/17,303.700012
4/5/17,295
4/6/17,298.700012
4/7/17,302.540009
4/10/17,312.390015
4/11/17,308.709991
4/12/17,296.839996
4/13/17,304
4/17/17,301.440002
4/18/17,300.25
4/19/17,305.519989
4/20/17,302.51001
4/21/17,305.600006
4/24/17,308.029999
4/25/17,313.790009
4/26/17,310.170013
4/27/17,308.630005
4/28/17,314.070007
5/1/17,322.829987
5/2/17,318.890015
5/3/17,311.019989
5/4/17,295.459991
5/5/17,308.350006
5/8/17,307.190002
5/9/17,321.26001
5/10/17,325.220001
5/11/17,323.100006
5/12/17,324.809998
5/15/17,315.880005
5/16/17,317.01001
5/17/17,306.109985
5/18/17,313.059998
5/19/17,310.829987
5/22/17,310.350006
5/23/17,303.859985
5/24/17,310.220001
5/25/17,316.829987
5/26/17,325.140015
5/30/17,335.100006
5/31/17,341.01001
6/1/17,340.369995
6/2/17,339.850006
6/5/17,347.320007
6/6/17,352.850006
6/7/17,359.649994
6/8/17,370
6/9/17,357.320007
6/12/17,359.01001
6/13/17,375.950012
6/14/17,380.660004
6/15/17,375.339996
6/16/17,371.399994
6/19/17,369.799988
6/20/17,372.23999
6/21/17,376.399994
6/22/17,382.609985
6/23/17,383.450012
6/26/17,377.48999
6/27/17,362.369995
6/28/17,371.23999
6/29/17,360.75
6/30/17,361.609985
7/3/17,352.619995
7/5/17,327.089996
7/6/17,308.829987
7/7/17,313.220001
7/10/17,316.049988
7/11/17,327.220001
7/12/17,329.519989
7/13/17,323.410004
7/14/17,327.779999
7/17/17,319.570007
7/18/17,328.23999
7/19/17,325.26001
7/20/17,329.920013
7/21/17,328.399994
7/24/17,342.519989
7/25/17,339.600006
7/26/17,343.850006
7/27/17,334.459991
7/28/17,335.070007
7/31/17,323.470001
8/1/17,319.570007
8/2/17,325.890015
8/3/17,347.089996
8/4/17,356.910004
8/7/17,355.170013
8/8/17,365.220001
8/9/17,363.529999
8/10/17,355.399994
8/11/17,357.869995
8/14/17,363.799988
8/15/17,362.329987
8/16/17,362.910004
8/17/17,351.920013
8/18/17,347.459991
8/21/17,337.859985
8/22/17,341.350006
8/23/17,352.769989
8/24/17,352.929993
8/25/17,348.049988
8/28/17,345.660004
8/29/17,347.359985
8/30/17,353.179993
8/31/17,355.899994
9/1/17,355.399994
9/5/17,349.589996
9/6/17,344.529999
9/7/17,350.609985
9/8/17,343.399994
9/11/17,363.690002
9/12/17,362.75
9/13/17,366.230011
9/14/17,377.640015
9/15/17,379.809998
9/18/17,385
9/19/17,375.100006
9/20/17,373.910004
9/21/17,366.480011
9/22/17,351.089996
9/25/17,344.98999
9/26/17,345.25
9/27/17,340.970001
9/28/17,339.600006
9/29/17,341.100006
10/2/17,341.529999
10/3/17,348.140015
10/4/17,355.01001
10/5/17,355.329987
10/6/17,356.880005
10/9/17,342.940002
10/10/17,355.589996
10/11/17,354.600006
10/12/17,355.679993
10/13/17,355.570007
10/16/17,350.600006
10/17/17,355.75
10/18/17,359.649994
10/19/17,351.809998
10/20/17,345.100006
10/23/17,337.019989
10/24/17,337.339996
10/25/17,325.839996
10/26/17,326.170013
10/27/17,320.869995
10/30/17,320.079987
10/31/17,331.529999
11/1/17,321.079987
11/2/17,299.26001
11/3/17,306.089996
11/6/17,302.779999
11/7/17,306.049988
11/8/17,304.390015
11/9/17,302.98999
11/10/17,302.98999
11/13/17,315.399994
11/14/17,308.700012
11/15/17,311.299988
11/16/17,312.5
11/17/17,315.049988
11/20/17,308.73999
11/21/17,317.809998
11/22/17,312.600006
11/24/17,315.549988
11/27/17,316.809998
11/28/17,317.549988
